"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript React", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\alojz\dev\json-viewer\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\components\JsonViewer.tsx", "TypeScript React", 0, 0, 0, 0, 142, 0, 0, 0, 0, 17, 159
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\jsonTokenizer.tsx", "TypeScript React", 0, 0, 0, 0, 113, 0, 0, 0, 18, 22, 153
"c:\Users\alojz\dev\json-viewer\modules\json-viewer\themes.tsx", "TypeScript React", 0, 0, 0, 0, 100, 0, 0, 0, 0, 10, 110
"c:\Users\alojz\dev\json-viewer\next.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\alojz\dev\json-viewer\package-lock.json", "JSON", 0, 0, 0, 2967, 0, 0, 0, 0, 0, 1, 2968
"c:\Users\alojz\dev\json-viewer\package.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\alojz\dev\json-viewer\pages\_app.tsx", "TypeScript React", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\alojz\dev\json-viewer\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"c:\Users\alojz\dev\json-viewer\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\alojz\dev\json-viewer\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\alojz\dev\json-viewer\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 112, 0, 18, 130
"c:\Users\alojz\dev\json-viewer\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\alojz\dev\json-viewer\tsconfig.json", "JSON with Comments", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\alojz\dev\json-viewer\util\util.tsx", "TypeScript React", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"Total", "-", 5, 20, 20, 2991, 396, 10, 4, 135, 20, 101, 3702
